epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.245,0.86306,3.91116,1.34548,0.0216,0.70024,0.1553,0.11956,0.7237,3.28635,1.27813,0.000137171,0.000137171,0.000137171
2,43.3854,0.86002,3.03782,1.34138,0.6218,0.31709,0.37573,0.27428,0.94099,2.37634,1.45786,0.000274804,0.000274804,0.000274804
3,65.2622,0.88295,2.53683,1.34977,0.60361,0.41837,0.41993,0.29593,0.99168,2.38399,1.5244,0.000411061,0.000411061,0.000411061
4,86.9106,0.89924,2.36596,1.36514,0.46594,0.45897,0.38692,0.27827,0.99385,2.20739,1.50429,0.000410808,0.000410808,0.000410808
5,108.414,0.88158,2.20443,1.34542,0.69998,0.41644,0.48889,0.316,1.10876,2.12426,1.69463,0.000408743,0.000408743,0.000408743
6,129.541,0.85836,2.11145,1.32193,0.54678,0.43547,0.45598,0.335,0.94663,2.0095,1.43474,0.000406679,0.000406679,0.000406679
7,151.6,0.8406,1.99755,1.31329,0.60637,0.55086,0.52422,0.39636,0.85253,1.88188,1.37124,0.000404615,0.000404615,0.000404615
8,173.959,0.81449,1.81983,1.28284,0.59638,0.51821,0.54606,0.39641,0.95857,1.82007,1.45422,0.000402551,0.000402551,0.000402551
9,195.757,0.83586,1.78606,1.31046,0.63427,0.51167,0.55162,0.42276,0.90466,1.66948,1.39877,0.000400487,0.000400487,0.000400487
10,217.5,0.79309,1.69396,1.2705,0.6651,0.58775,0.58348,0.44016,0.86574,1.66403,1.37669,0.000398423,0.000398423,0.000398423
11,238.432,0.80046,1.61388,1.26802,0.58775,0.49633,0.52781,0.38491,0.96112,1.75087,1.4605,0.000396358,0.000396358,0.000396358
12,259.415,0.79356,1.62437,1.26242,0.62499,0.5704,0.61415,0.46844,0.88052,1.53415,1.39116,0.000394294,0.000394294,0.000394294
13,280.726,0.76455,1.55315,1.25956,0.56795,0.58719,0.60008,0.47136,0.85694,1.4957,1.35307,0.00039223,0.00039223,0.00039223
14,302.65,0.77047,1.54749,1.23974,0.58544,0.59122,0.57958,0.4492,0.84091,1.52288,1.33476,0.000390166,0.000390166,0.000390166
15,323.514,0.75803,1.46267,1.2415,0.59396,0.59621,0.64415,0.51246,0.86336,1.43988,1.35971,0.000388102,0.000388102,0.000388102
16,344.423,0.74923,1.42882,1.23078,0.59406,0.61106,0.63783,0.494,0.81385,1.40012,1.31668,0.000386038,0.000386038,0.000386038
17,365.215,0.75597,1.37765,1.22078,0.64328,0.64371,0.65302,0.50673,0.83539,1.32723,1.34321,0.000383974,0.000383974,0.000383974
18,386.014,0.71241,1.29904,1.21216,0.6529,0.5831,0.65349,0.50431,0.80982,1.38954,1.29674,0.000381909,0.000381909,0.000381909
19,407.656,0.71701,1.27191,1.19891,0.57112,0.58136,0.61506,0.48378,0.79602,1.52486,1.28952,0.000379845,0.000379845,0.000379845
20,428.988,0.73214,1.28791,1.21099,0.57056,0.65068,0.64775,0.51407,0.80688,1.36918,1.30348,0.000377781,0.000377781,0.000377781
21,451.047,0.71904,1.2424,1.20071,0.59666,0.63757,0.65371,0.52115,0.78563,1.29825,1.29499,0.000375717,0.000375717,0.000375717
22,472.986,0.71338,1.21952,1.19944,0.64006,0.63708,0.63441,0.49819,0.8339,1.41154,1.33724,0.000373653,0.000373653,0.000373653
23,495.025,0.70945,1.23303,1.19915,0.5941,0.64585,0.66556,0.52709,0.79864,1.3026,1.29388,0.000371589,0.000371589,0.000371589
24,516.242,0.71151,1.15258,1.20472,0.64811,0.62912,0.671,0.53666,0.78419,1.27501,1.26497,0.000369525,0.000369525,0.000369525
25,537.616,0.7029,1.15945,1.18464,0.55037,0.67959,0.66221,0.52712,0.80111,1.32184,1.30024,0.00036746,0.00036746,0.00036746
26,559.472,0.68235,1.13186,1.17752,0.67377,0.62111,0.66548,0.49004,0.87528,1.3338,1.37143,0.000365396,0.000365396,0.000365396
27,580.514,0.70647,1.1582,1.19588,0.66977,0.61542,0.66494,0.5313,0.80517,1.27107,1.30949,0.000363332,0.000363332,0.000363332
28,601.923,0.6894,1.09471,1.175,0.6501,0.64529,0.66536,0.52591,0.78892,1.29252,1.30478,0.000361268,0.000361268,0.000361268
29,622.691,0.66863,1.08273,1.16816,0.62969,0.67149,0.69029,0.53608,0.82243,1.28251,1.33697,0.000359204,0.000359204,0.000359204
30,643.467,0.66819,1.05434,1.16387,0.65912,0.67351,0.68026,0.5356,0.78796,1.22645,1.2992,0.00035714,0.00035714,0.00035714
31,664.094,0.69232,1.07419,1.19079,0.65307,0.69585,0.68087,0.54,0.77164,1.31516,1.28387,0.000355076,0.000355076,0.000355076
32,684.816,0.64883,1.00625,1.15469,0.74438,0.62478,0.69707,0.57035,0.72218,1.18633,1.24715,0.000353011,0.000353011,0.000353011
33,705.584,0.65419,1.04591,1.16863,0.62656,0.68259,0.69794,0.55367,0.77923,1.17235,1.29061,0.000350947,0.000350947,0.000350947
34,726.282,0.6428,1.00002,1.14785,0.62864,0.64221,0.65038,0.51482,0.761,1.34106,1.27965,0.000348883,0.000348883,0.000348883
35,747.621,0.66027,1.01046,1.16564,0.64025,0.66896,0.69934,0.54274,0.76903,1.21865,1.28,0.000346819,0.000346819,0.000346819
36,768.295,0.63586,0.97805,1.14325,0.69019,0.6693,0.70677,0.56396,0.77723,1.2188,1.26232,0.000344755,0.000344755,0.000344755
37,788.972,0.65309,0.99889,1.15478,0.68466,0.66434,0.71285,0.56959,0.7765,1.20974,1.27701,0.000342691,0.000342691,0.000342691
38,809.65,0.65484,0.98608,1.15239,0.63597,0.67962,0.69206,0.55114,0.77413,1.27664,1.2752,0.000340626,0.000340626,0.000340626
39,830.308,0.63527,0.91705,1.13181,0.71738,0.65416,0.68408,0.55626,0.74952,1.25297,1.26515,0.000338562,0.000338562,0.000338562
40,851.034,0.64384,0.91582,1.14485,0.69154,0.68509,0.71555,0.57391,0.73019,1.13311,1.25201,0.000336498,0.000336498,0.000336498
41,872.643,0.64002,0.92933,1.15333,0.66104,0.67093,0.69952,0.55449,0.77887,1.23006,1.29615,0.000334434,0.000334434,0.000334434
42,894.472,0.62563,0.91101,1.14125,0.66923,0.67774,0.70569,0.56934,0.75386,1.1804,1.27086,0.00033237,0.00033237,0.00033237
43,915.416,0.63074,0.89957,1.13849,0.7067,0.64803,0.71962,0.57498,0.76847,1.19037,1.27676,0.000330306,0.000330306,0.000330306
44,936.205,0.6217,0.8785,1.13287,0.65688,0.69372,0.71837,0.58044,0.74902,1.15302,1.26139,0.000328242,0.000328242,0.000328242
45,956.87,0.62487,0.89845,1.12778,0.66944,0.67886,0.7093,0.57318,0.75194,1.17617,1.26241,0.000326177,0.000326177,0.000326177
46,977.926,0.60919,0.89001,1.12307,0.65733,0.70219,0.7046,0.56948,0.74272,1.17061,1.25594,0.000324113,0.000324113,0.000324113
47,999.487,0.63112,0.88362,1.14248,0.67069,0.68199,0.71221,0.57209,0.74488,1.19699,1.25009,0.000322049,0.000322049,0.000322049
48,1020.06,0.6114,0.84385,1.11634,0.65211,0.72624,0.71042,0.57327,0.74362,1.2355,1.25099,0.000319985,0.000319985,0.000319985
49,1040.84,0.61561,0.86164,1.13102,0.68146,0.69639,0.71695,0.58733,0.73743,1.2379,1.25251,0.000317921,0.000317921,0.000317921
50,1061.7,0.61034,0.8576,1.12625,0.6994,0.69626,0.72587,0.58466,0.75368,1.14952,1.26389,0.000315857,0.000315857,0.000315857
51,1082.32,0.60943,0.83541,1.11867,0.66313,0.73339,0.74166,0.60084,0.755,1.13556,1.25448,0.000313792,0.000313792,0.000313792
52,1103.09,0.61236,0.84684,1.12453,0.72578,0.68126,0.71908,0.58421,0.73388,1.20516,1.24822,0.000311728,0.000311728,0.000311728
53,1124.55,0.6034,0.80819,1.11656,0.69436,0.71046,0.72355,0.58336,0.75751,1.1449,1.26203,0.000309664,0.000309664,0.000309664
54,1145.44,0.59649,0.80366,1.10732,0.67148,0.67952,0.70127,0.57084,0.73177,1.1476,1.24485,0.0003076,0.0003076,0.0003076
55,1166.36,0.59184,0.7942,1.1169,0.68473,0.74774,0.74642,0.61147,0.71531,1.0824,1.2267,0.000305536,0.000305536,0.000305536
56,1187.25,0.58948,0.78986,1.10449,0.71583,0.72759,0.75305,0.61653,0.72961,1.11277,1.23327,0.000303472,0.000303472,0.000303472
57,1207.89,0.58299,0.76982,1.10993,0.68009,0.69056,0.72442,0.58889,0.72413,1.15811,1.22192,0.000301408,0.000301408,0.000301408
58,1228.52,0.57643,0.77211,1.09468,0.70235,0.69836,0.74011,0.60622,0.7412,1.10679,1.25173,0.000299343,0.000299343,0.000299343
59,1249.17,0.56655,0.76853,1.1015,0.67215,0.70915,0.72825,0.5904,0.74844,1.16466,1.25457,0.000297279,0.000297279,0.000297279
60,1269.76,0.58078,0.78675,1.09238,0.70428,0.66486,0.70757,0.57171,0.75038,1.17342,1.26962,0.000295215,0.000295215,0.000295215
61,1290.55,0.58177,0.76322,1.10672,0.67379,0.71965,0.73558,0.58903,0.74594,1.08058,1.25483,0.000293151,0.000293151,0.000293151
62,1311.46,0.56527,0.74699,1.08995,0.6957,0.70202,0.72917,0.58778,0.73421,1.11026,1.24713,0.000291087,0.000291087,0.000291087
63,1331.87,0.5847,0.74338,1.10373,0.72264,0.70486,0.74627,0.60946,0.72038,1.11818,1.23016,0.000289023,0.000289023,0.000289023
64,1352.64,0.58792,0.74373,1.10765,0.71908,0.69898,0.73158,0.60004,0.70771,1.10651,1.21109,0.000286959,0.000286959,0.000286959
65,1373.41,0.5642,0.74875,1.09286,0.68313,0.74752,0.76017,0.61677,0.72616,1.04466,1.22096,0.000284894,0.000284894,0.000284894
66,1394.25,0.56825,0.75528,1.09057,0.68699,0.71869,0.74241,0.6127,0.69586,1.04966,1.21121,0.00028283,0.00028283,0.00028283
67,1415.06,0.56476,0.73272,1.09384,0.70574,0.68994,0.73828,0.61341,0.71566,1.12043,1.21316,0.000280766,0.000280766,0.000280766
68,1436.06,0.58627,0.73685,1.10854,0.68115,0.71217,0.73051,0.59057,0.73907,1.11318,1.24313,0.000278702,0.000278702,0.000278702
69,1456.95,0.58076,0.74449,1.09949,0.68959,0.70633,0.71846,0.59261,0.72318,1.11104,1.24233,0.000276638,0.000276638,0.000276638
70,1477.63,0.55636,0.7118,1.08523,0.6989,0.69928,0.73185,0.58665,0.77782,1.1213,1.27823,0.000274574,0.000274574,0.000274574
71,1498.46,0.57908,0.70592,1.09932,0.72849,0.69926,0.73599,0.59813,0.75244,1.07167,1.25949,0.000272509,0.000272509,0.000272509
72,1519.24,0.55963,0.70912,1.08464,0.75721,0.66184,0.72543,0.58006,0.73683,1.10847,1.24031,0.000270445,0.000270445,0.000270445
73,1540.04,0.56189,0.69674,1.08364,0.67776,0.73117,0.73582,0.60436,0.71662,1.02756,1.22073,0.000268381,0.000268381,0.000268381
74,1560.45,0.54705,0.66874,1.07096,0.6959,0.68031,0.73377,0.60696,0.72042,1.07998,1.22897,0.000266317,0.000266317,0.000266317
75,1580.92,0.5499,0.67339,1.08436,0.72534,0.6886,0.73455,0.61565,0.7009,1.05555,1.21748,0.000264253,0.000264253,0.000264253
76,1601.64,0.54759,0.6892,1.07419,0.67289,0.72556,0.71977,0.59217,0.72432,1.12757,1.23298,0.000262189,0.000262189,0.000262189
77,1622.31,0.5517,0.68276,1.08033,0.73146,0.68413,0.73783,0.60611,0.70891,1.05062,1.223,0.000260125,0.000260125,0.000260125
78,1643.06,0.54181,0.68531,1.07114,0.73143,0.70198,0.74425,0.60539,0.73336,1.09769,1.24071,0.00025806,0.00025806,0.00025806
79,1664.41,0.53768,0.67525,1.07685,0.67566,0.72567,0.72831,0.60121,0.70154,1.11501,1.22505,0.000255996,0.000255996,0.000255996
80,1685.19,0.55422,0.68335,1.08564,0.72071,0.67952,0.73936,0.60397,0.73516,1.04069,1.24444,0.000253932,0.000253932,0.000253932
81,1705.7,0.55016,0.67833,1.07854,0.7523,0.67228,0.7488,0.62228,0.69962,1.03018,1.2129,0.000251868,0.000251868,0.000251868
82,1726.64,0.55358,0.66471,1.07481,0.68587,0.73221,0.72005,0.59831,0.69953,1.12515,1.20495,0.000249804,0.000249804,0.000249804
83,1747.6,0.55419,0.67239,1.07569,0.72836,0.68869,0.71487,0.5884,0.73475,1.11976,1.23619,0.00024774,0.00024774,0.00024774
84,1768.23,0.53847,0.65978,1.07461,0.74029,0.69794,0.74647,0.61588,0.72242,1.03422,1.24061,0.000245676,0.000245676,0.000245676
85,1788.85,0.52289,0.64769,1.06359,0.75619,0.67715,0.74146,0.61401,0.6847,1.11896,1.20984,0.000243611,0.000243611,0.000243611
